model,transformed_feature,clean_feature,coefficient,importance_abs,base_feature
logreg,cat__purpose_small_business,purpose_small_business,0.625392536007007,0.625392536007007,purpose
logreg,cat__purpose_credit_card,purpose_credit_card,-0.5901317415613053,0.5901317415613053,purpose
logreg,cat__home_ownership_n_MORTGAGE,home_ownership_n_MORTGAGE,-0.409477970873444,0.409477970873444,home_ownership_n
logreg,num__fico_n,fico_n,-0.38648177576854076,0.38648177576854076,fico_n
logreg,num__revenue,revenue,-0.3629888097907095,0.3629888097907095,revenue
logreg,cat__home_ownership_n_OWN,home_ownership_n_OWN,-0.3537663638683015,0.3537663638683015,home_ownership_n
logreg,cat__purpose_wedding,purpose_wedding,-0.33148231137970524,0.33148231137970524,purpose
logreg,num__loan_amnt,loan_amnt,0.32615051546570356,0.32615051546570356,loan_amnt
logreg,cat__purpose_debt_consolidation,purpose_debt_consolidation,-0.3234876307604235,0.3234876307604235,purpose
logreg,cat__purpose_major_purchase,purpose_major_purchase,-0.2701224475391197,0.2701224475391197,purpose
logreg,cat__purpose_car,purpose_car,-0.2644392962396375,0.2644392962396375,purpose
logreg,cat__home_ownership_n_RENT,home_ownership_n_RENT,-0.26291745112907633,0.26291745112907633,home_ownership_n
logreg,cat__emp_length_NI,emp_length_NI,0.161499558371054,0.161499558371054,emp_length
logreg,cat__emp_length_1 year,emp_length_1 year,-0.14780235934760486,0.14780235934760486,emp_length
logreg,cat__emp_length_2 years,emp_length_2 years,-0.14374479878027663,0.14374479878027663,emp_length
logreg,cat__purpose_home_improvement,purpose_home_improvement,-0.13608052591762784,0.13608052591762784,purpose
logreg,cat__emp_length_4 years,emp_length_4 years,-0.13282691666749502,0.13282691666749502,emp_length
logreg,cat__emp_length_3 years,emp_length_3 years,-0.13097475428924066,0.13097475428924066,emp_length
logreg,cat__emp_length_5 years,emp_length_5 years,-0.1258965932373027,0.1258965932373027,emp_length
logreg,num__dti_n,dti_n,0.11642684769382701,0.11642684769382701,dti_n
logreg,cat__emp_length_10+ years,emp_length_10+ years,-0.1148691119855317,0.1148691119855317,emp_length
logreg,cat__purpose_other,purpose_other,0.10587270043566892,0.10587270043566892,purpose
logreg,cat__purpose_educational,purpose_educational,0.10151386921982236,0.10151386921982236,purpose
logreg,cat__emp_length_< 1 year,emp_length_< 1 year,-0.08621841874851653,0.08621841874851653,emp_length
logreg,cat__emp_length_8 years,emp_length_8 years,-0.08561923204169537,0.08561923204169537,emp_length
logreg,cat__emp_length_7 years,emp_length_7 years,-0.07830412111448458,0.07830412111448458,emp_length
logreg,cat__emp_length_9 years,emp_length_9 years,-0.07491715619520913,0.07491715619520913,emp_length
logreg,cat__purpose_medical,purpose_medical,0.0701390968614288,0.0701390968614288,purpose
logreg,cat__emp_length_6 years,emp_length_6 years,-0.06920323566437664,0.06920323566437664,emp_length
logreg,cat__purpose_house,purpose_house,-0.061491152120664784,0.061491152120664784,purpose
logreg,cat__purpose_renewable_energy,purpose_renewable_energy,0.033581916707931335,0.033581916707931335,purpose
logreg,cat__purpose_moving,purpose_moving,0.008155246013220343,0.008155246013220343,purpose
logreg,cat__purpose_vacation,purpose_vacation,0.0037026005722331063,0.0037026005722331063,purpose
logreg,cat__home_ownership_n_OTHER,home_ownership_n_OTHER,-0.0027153538305372325,0.0027153538305372325,home_ownership_n
logreg,num__experience_c,experience_c,0.0013105888686772075,0.0013105888686772075,experience_c
