year,feature,feature_type,psi,train_missing_rate,year_missing_rate,train_nunique,year_nunique
2015,dti_n,numeric,0.09821459374230308,0.0,0.0,3499,4068
2015,emp_length,categorical,0.02868478180483596,0.0,0.0,12,12
2015,experience_c,numeric_constant,,0.0,0.0,2,1
2015,fico_n,numeric,0.05500144924848066,0.0,0.0,48,38
2015,home_ownership_n,categorical,0.014467504715622697,0.0,0.0,4,4
2015,loan_amnt,numeric,0.015150362617369087,0.0,0.0,1278,1361
2015,purpose,categorical,0.10845630572721073,0.0,0.0,14,14
2015,revenue,numeric,0.009251287511465154,0.0,0.0,18864,24403
2016,dti_n,numeric,0.08336043387808789,0.0,0.0,3499,5232
2016,emp_length,categorical,0.04052209755738924,0.0,0.0,12,12
2016,experience_c,numeric_constant,,0.0,0.0,2,1
2016,fico_n,numeric,0.036685886502245156,0.0,0.0,48,38
2016,home_ownership_n,categorical,0.01954269722997598,0.0,0.0,4,4
2016,loan_amnt,numeric,0.017087708685266823,0.0,0.0,1278,1498
2016,purpose,categorical,0.10749264569148728,0.0,0.0,14,13
2016,revenue,numeric,0.030004784673358053,0.0,0.0,18864,20601
2017,dti_n,numeric,0.06354775871024855,0.0,0.0,3499,5930
2017,emp_length,categorical,0.04909575786985412,0.0,0.0,12,12
2017,experience_c,numeric_constant,,0.0,0.0,2,1
2017,fico_n,numeric,0.02007354559133849,0.0,0.0,48,38
2017,home_ownership_n,categorical,0.01854332449859211,0.0,0.0,4,4
2017,loan_amnt,numeric,0.03473139983960343,0.0,0.0,1278,1506
2017,purpose,categorical,0.13449340924242134,0.0,0.0,14,12
2017,revenue,numeric,0.07085887962925651,0.0,0.0,18864,13740
2018,dti_n,numeric,0.06959476630120218,0.0,0.0,3499,5201
2018,emp_length,categorical,0.06356792536436615,0.0,0.0,12,12
2018,experience_c,numeric_constant,,0.0,0.0,2,1
2018,fico_n,numeric,0.06930966115115475,0.0,0.0,48,38
2018,home_ownership_n,categorical,0.03471442054540533,0.0,0.0,4,4
2018,loan_amnt,numeric,0.06520223303191791,0.0,0.0,1278,1305
2018,purpose,categorical,0.13131710699867374,0.0,0.0,14,13
2018,revenue,numeric,0.11300806988242841,0.0,0.0,18864,6132
