model,year,n_rows,threshold,auc,f1,accuracy,brier_score,ece,default_rate,mean_pred,pred_positive_rate
gpt-4.1-nano,2015,500,0.11,0.5467940907706366,0.3277591973244147,0.196,0.16012,0.041199999999999994,0.196,0.23720000000000005,1.0
gpt-4.1-nano,2016,500,0.11,0.544010033136966,0.3660130718954248,0.224,0.17406000000000002,0.013599999999999977,0.224,0.2338,1.0
gpt-4.1-nano,2017,500,0.11,0.5078742588932806,0.4177215189873418,0.264,0.19884500000000002,0.05009999999999998,0.264,0.23810000000000003,1.0
gpt-4.1-nano,2018,500,0.11,0.5977411764705882,0.2608695652173913,0.15,0.13241500000000003,0.08689999999999999,0.15,0.23690000000000003,1.0
logreg,2015,500,0.2,0.6167377398720683,0.32,0.66,0.15468286524463826,0.027085141640869954,0.196,0.1724885082817557,0.304
logreg,2016,500,0.2,0.6631995581737851,0.4142857142857143,0.672,0.16729404249548283,0.05472778584409691,0.224,0.1692722141559031,0.336
logreg,2017,500,0.2,0.6345932147562583,0.3435114503816794,0.656,0.19786646247562753,0.1071582208963985,0.264,0.15845195492984254,0.26
logreg,2018,500,0.2,0.7103058823529411,0.35294117647058826,0.758,0.1161512426875193,0.022856465860108012,0.15,0.14927196880657756,0.224
mlp,2015,500,0.17,0.5615544725352828,0.3209169054441261,0.526,0.15760307521922953,0.030056053642234844,0.196,0.1686858419132676,0.502
mlp,2016,500,0.17,0.6409701767304861,0.42565597667638483,0.606,0.17068156477554725,0.056051543625866666,0.224,0.16794845637413333,0.462
mlp,2017,500,0.17,0.6226737483530962,0.41643835616438357,0.574,0.19807729082604614,0.10197920291123114,0.264,0.16202079708876888,0.466
mlp,2018,500,0.17,0.6328470588235294,0.3082706766917293,0.632,0.12395195981642283,0.00855258330120183,0.15,0.15437430634436278,0.382
xgboost,2015,500,0.2,0.62960706670728,0.3371647509578544,0.654,0.15341102518182145,0.02877780861966312,0.196,0.17111065738089382,0.326
xgboost,2016,500,0.2,0.6553065169366716,0.3970037453183521,0.678,0.16858824041094117,0.05816100236587226,0.224,0.16698721483536064,0.31
xgboost,2017,500,0.2,0.626461627140975,0.34782608695652173,0.67,0.19947824081749593,0.11249376481771471,0.264,0.1581385822892189,0.242
xgboost,2018,500,0.2,0.699764705882353,0.3314917127071823,0.758,0.11787678435151054,0.018490415725857023,0.15,0.14661928886547684,0.212
