model,year,threshold,auc,f1,pred_positive_rate
logreg,2015,0.5306358485564483,0.6556841555686018,0.38964045964221866,0.4490803982500007
logreg,2016,0.5306358485564483,0.6542599885560934,0.42043806133681755,0.43054081629171115
logreg,2017,0.5306358485564483,0.6636951602054987,0.4207790229365223,0.38977157825647335
logreg,2018,0.5306358485564483,0.6600149303897245,0.3340284637617532,0.32918447293447295
mlp,2015,0.15692455046738227,0.6216685416465537,0.369147849844123,0.5856692842097976
mlp,2016,0.15692455046738227,0.6190507758705758,0.40423718391803815,0.5718614467492672
mlp,2017,0.15692455046738227,0.6290790285305278,0.4065972464882242,0.5302187243151191
mlp,2018,0.15692455046738227,0.626420798503857,0.3111365260900643,0.4652599715099715
xgboost,2015,0.16295350513544427,0.6560246983326474,0.38858041064937615,0.47577241487659205
xgboost,2016,0.16295350513544427,0.6540045954184368,0.4208232977883491,0.4500592034996605
xgboost,2017,0.16295350513544427,0.660986041087096,0.4206150826714066,0.4074457328358474
xgboost,2018,0.16295350513544427,0.6613862234278576,0.3346818165828262,0.3486645299145299
