n_rows,default_rate,mean_pred,brier_score,ece,abs_mean_prob_minus_default_rate,year,time_gap,model,threshold
375543,0.2018463930894731,0.16947354077648094,0.1547501772910569,0.032468362243949174,0.03237285231299217,2015,1,logreg,0.1743370848987072
293057,0.23281818895300233,0.16650727433341533,0.17426869535140138,0.06644758053650805,0.06631091461958699,2016,2,logreg,0.1743370848987072
169117,0.23127184138791487,0.1594969064772461,0.1737566781684721,0.07285798442241634,0.07177493491066878,2017,3,logreg,0.1743370848987072
56160,0.15751424501424502,0.14917752728518144,0.12754491953478728,0.010512876665391987,0.00833671772906358,2018,4,logreg,0.1743370848987072
375543,0.2018463930894731,0.16980087362660365,0.15753185689822172,0.03204551946286951,0.03204551946286946,2015,1,mlp,0.1569245504673814
293057,0.23281818895300233,0.16759597669006024,0.17751981144051357,0.06522221226294211,0.06522221226294209,2016,2,mlp,0.1569245504673814
169117,0.23127184138791487,0.16095723101506615,0.17662535364665263,0.07031461037284875,0.07031461037284872,2017,3,mlp,0.1569245504673814
56160,0.15751424501424502,0.15153376376878847,0.1292422649255459,0.00598048124545659,0.005980481245456554,2018,4,mlp,0.1569245504673814
375543,0.2018463930894731,0.1685134470462799,0.15443363861069187,0.033348283094713244,0.0333329460431932,2015,1,xgboost,0.16295350513544427
293057,0.23281818895300233,0.16386407613754272,0.17435697503047956,0.06900820061253038,0.0689541128154596,2016,2,xgboost,0.16295350513544427
169117,0.23127184138791487,0.15544572472572327,0.17393688978130445,0.07583138445815864,0.0758261166621916,2017,3,xgboost,0.16295350513544427
56160,0.15751424501424502,0.14610829949378967,0.12691820324189743,0.013603494024455431,0.011405945520455346,2018,4,xgboost,0.16295350513544427
