model,transformed_feature,clean_feature,importance,importance_abs,base_feature
xgboost,cat__purpose_small_business,purpose_small_business,0.092351325,0.092351325,purpose
xgboost,num__fico_n,fico_n,0.08444049,0.08444049,fico_n
xgboost,cat__purpose_credit_card,purpose_credit_card,0.07250769,0.07250769,purpose
xgboost,cat__purpose_other,purpose_other,0.042859964,0.042859964,purpose
xgboost,num__loan_amnt,loan_amnt,0.04273146,0.04273146,loan_amnt
xgboost,num__revenue,revenue,0.04184435,0.04184435,revenue
xgboost,cat__emp_length_NI,emp_length_NI,0.035865825,0.035865825,emp_length
xgboost,num__dti_n,dti_n,0.02756755,0.02756755,dti_n
xgboost,cat__home_ownership_n_RENT,home_ownership_n_RENT,0.027044334,0.027044334,home_ownership_n
xgboost,cat__purpose_medical,purpose_medical,0.025085088,0.025085088,purpose
xgboost,cat__purpose_major_purchase,purpose_major_purchase,0.025069162,0.025069162,purpose
xgboost,cat__purpose_debt_consolidation,purpose_debt_consolidation,0.024976028,0.024976028,purpose
xgboost,cat__home_ownership_n_MORTGAGE,home_ownership_n_MORTGAGE,0.02370391,0.02370391,home_ownership_n
xgboost,cat__purpose_vacation,purpose_vacation,0.023484634,0.023484634,purpose
xgboost,cat__purpose_renewable_energy,purpose_renewable_energy,0.022156266,0.022156266,purpose
xgboost,cat__emp_length_10+ years,emp_length_10+ years,0.021878965,0.021878965,emp_length
xgboost,cat__purpose_educational,purpose_educational,0.021867845,0.021867845,purpose
xgboost,cat__purpose_moving,purpose_moving,0.021857962,0.021857962,purpose
xgboost,cat__purpose_house,purpose_house,0.021438854,0.021438854,purpose
xgboost,cat__purpose_car,purpose_car,0.021201858,0.021201858,purpose
xgboost,cat__emp_length_9 years,emp_length_9 years,0.020955449,0.020955449,emp_length
xgboost,cat__purpose_wedding,purpose_wedding,0.02084066,0.02084066,purpose
xgboost,cat__home_ownership_n_OWN,home_ownership_n_OWN,0.020519776,0.020519776,home_ownership_n
xgboost,cat__emp_length_1 year,emp_length_1 year,0.02034881,0.02034881,emp_length
xgboost,cat__home_ownership_n_OTHER,home_ownership_n_OTHER,0.020347646,0.020347646,home_ownership_n
xgboost,cat__emp_length_5 years,emp_length_5 years,0.020165991,0.020165991,emp_length
xgboost,cat__emp_length_7 years,emp_length_7 years,0.019782236,0.019782236,emp_length
xgboost,cat__emp_length_4 years,emp_length_4 years,0.01970929,0.01970929,emp_length
xgboost,cat__purpose_home_improvement,purpose_home_improvement,0.019130811,0.019130811,purpose
xgboost,cat__emp_length_2 years,emp_length_2 years,0.018994046,0.018994046,emp_length
xgboost,cat__emp_length_6 years,emp_length_6 years,0.018965898,0.018965898,emp_length
xgboost,cat__emp_length_8 years,emp_length_8 years,0.01887938,0.01887938,emp_length
xgboost,cat__emp_length_3 years,emp_length_3 years,0.017696498,0.017696498,emp_length
xgboost,cat__emp_length_< 1 year,emp_length_< 1 year,0.016726721,0.016726721,emp_length
xgboost,num__experience_c,experience_c,0.007003162,0.007003162,experience_c
